Name,Lat ,Long ,Radius
Eiffel Tower,48.8584,2.2945,1500000
Colosseum,41.8902,12.4922,1750000
Statue of Liberty,40.6892,-74.0445,1500000
Louvre Museum,48.8606,2.3376,1500000
Mount Rushmore,43.8791,-103.4591,1800000
Las Vegas,36.1699,-115.1398,1500000
Kilauea Volcano,19.406893,-155.283386,2500000
Mount Kilimanjaro,3.0674,37.3556,2000000
Great Pyramid,29.9792,31.1342,1700000
North Pole,90,-135,1500000
South Pole,-90,45,1500000
Quito,0,-78.4678,2000000
Nazca Lines,-14.8359,-74.9328,1500000
Miami Beach,25.7617,-80.1918,1500000
Rio de Janeiro,-22.906,-43.1729,1500000
Cape Town,-33.9249,18.4241,2500000
Ayers Rock,-25.3444,131.0369,1700000
Sydney,-33.8688,151.2093,1500000
Guam,13.4443,144.7937,2500000
Sumatra,-0.5897,101.3431,2500000
Taj Mahal,27.1751,78.0421,1500000
Machu Picchu,-13.1631,-72.5450,1500000
Brandenburg Gate,52.5163,13.3777,1500000
Burj Khalifa,25.1972,55.2744,2500000
CN Tower,43.6426,-79.3871,2000000
Mt. Fuji,35.3606,138.7274,2500000
St. Basil Cathedral,55.7525,37.6231,1500000
Blue Mosque,41.0054,28.9768,1500000
Gobekli Tepe,37.2232,38.9224,1500000
Dawson City,64.0601,-139.4320,1500000
Casablanca,33.5731,-7.5898,1500000
Victoria Falls,-17.9243,25.8572,1500000
Fiji,-17.7134,178.0650,2500000
Auckland,-36.8485,174.7633,1500000
Cook Islands,-21.2367,159.7777,2500000
Teotihuaca,19.6861,-98.8716,1500000
Chichen Itza,20.684,-88.5678,1500000
Bermuda,32.3078,-64.7505,2500000
Edinburgh of the Seven Seas,-37.0680,-12.3113,2500000
Abuja,9.0765,7.3986,1500000
Angkor Wat,13.4125,103.8670,1500000
Singapore,1.3521,103.8198,1500000
Shanghai Tower,31.2335,121.5056,2500000
Abraj Al-Bait Clock Tower,21.4186,39.8267,2000000
Lotte World Tower,37.5130,127.1027,2000000
Taipei 101,25.0340,121.5645,2000000
French Polynesia,-17.6797,-149.4068,2000000
Falklan Islands,-51.7963,-59.5236,2000000
Cape Verde,16.5388,-23.0418,2000000
Amazon Rain Forest,-3.4653,-62.2159,2000000
Leyte Gulf,10.7381,125.3027,2000000
Chinggis Khaan Statue,47.8081,107.5298,1500000
Grande Terre,-49.3948,69.3545,2000000
Adak,51.7616,-176.6217,2000000
Easter Island,-27.1127,-109.3497,2500000
Diego Garcia,-7.3195,72.4229,2500000
South Georgia and the South Sandwich Islands,-54.4296,-36.5879,2500000
Prince Edward Islands,-46.770496918,37.851496594,2500000
Mount Everest,27.9881,86.9250,2500000
Nowhere,0,0,1500000